doc_id,title,year,doi,studied_genera,n_studied_genera,regions_detected,n_regions_detected,unassigned_genera,single_biogeographic_region,article_region_assignment
135,"Cytogenetic characterization of Partamona cupira (Hymenoptera, Apidae) by fluorochromes",2010,10.1590/s1415-47572010005000029,Partamona,1,Neotropical,1,,Neotropical,Neotropical
136,Matrilineage differentiation of the genus Tetragonisca using mitochondrial DNA markers and the polymerase chain reaction-restriction fragment length polymorphism technique,2015,10.4238/2015.october.21.2,Tetragonisca,1,Neotropical,1,,Neotropical,Neotropical
137,Anthropogenic hive movements are changing the genetic structure of a stingless bee (Tetragonula carbonaria) population along the east coast of Australia,2018,10.1007/s10592-017-1040-9,Tetragonula,1,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
138,Stingless bee honey: Evaluating its antibacterial activity and bacterial diversity,2020,10.3390/insects11080500,Heterotrigona; Homotrigona,2,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
139,The Satellite DNAs Populating the Genome of Trigona hyalinata and the Sharing of a Highly Abundant satDNA in Trigona Genus,2023,10.3390/genes14020418,Trigona,1,Neotropical,1,,Neotropical,Neotropical
140,Morphometric and genetic differentiation in isolated populations of the endangered Mesoamerican stingless bee Melipona yucatanica (Hymenoptera: Apoidea) suggest the existence of a two species complex,2010,10.1007/s10592-010-0087-7,Melipona,1,Neotropical,1,,Neotropical,Neotropical
141,"Starmerella neotropicalis f. a., sp. nov., a yeast species found in bees and pollen",2013,10.1099/ijs.0.055897-0,,0,,0,,NA,No region assigned
142,Genetic diversity and population structure of Trigona pagdeni Schwarz in Thailand,2008,10.1051/apido:2008026,Trigona,1,Neotropical,1,,Neotropical,Neotropical
143,"Morphological and molecular characters reveal differentiation in a Neotropical social bee, Melipona beecheii (Apidae: Meliponini)",2007,10.1051/apido:2007006,Melipona,1,Neotropical,1,,Neotropical,Neotropical
144,"Complete Genome Sequence of Bacillus velezensis GMEKP1, Isolated from a Natural Bamboo Hive of Stingless Bees",2021,10.1128/mra.00659-21,,0,,0,,NA,No region assigned
145,"The screening of probiotic lactic acid bacteria from honey of stingless bee from West Sumatra, Indonesia and using as starter culture",2022,10.13057/biodiv/d231235,,0,,0,,NA,No region assigned
146,Characterization of dinucleotide microsatellite loci for stingless bees,1999,10.1046/j.1365-294x.1999.00874.x,Scaptotrigona,1,Neotropical,1,,Neotropical,Neotropical
147,Functional orthologs of honeybee CYP6AQ1 in stingless bees degrade the butenolide insecticide flupyradifurone,2023,10.1016/j.ecoenv.2023.115719,Frieseomelitta; Heterotrigona; Melipona; Tetragonula,4,Indo-Australasian; Neotropical,2,,NA,Multi-region article
148,A Genetically Modified Anti-Plasmodium Bacterium Is Harmless to the Foragers of the Stingless Bee Partamona helleri,2022,10.1007/s00248-021-01805-9,Partamona,1,Neotropical,1,,Neotropical,Neotropical
149,"The impact of early-life exposure to three agrochemicals on survival, behavior, and gut microbiota of stingless bees (Partamona helleri)",2023,10.1007/s11356-023-27385-4,Partamona,1,Neotropical,1,,Neotropical,Neotropical
150,Gene expression and epigenetics reveal species-specific mechanisms acting upon common molecular pathways in the evolution of task division in bees,2021,10.1038/s41598-020-75432-8,Tetragonisca,1,Neotropical,1,,Neotropical,Neotropical
151,"Comparative study on the use of specific and heterologous microsatellite primers in the stingless bees Melipona rufiventris and M. mondury (Hymenoptera, Apidae)",2010,10.1590/s1415-47572010005000017,Melipona,1,Neotropical,1,,Neotropical,Neotropical
152,Presence of nuclear copies of mitochondrial origin (NUMTs) in two related species of stingless bee genus Melipona (Hymenoptera: Meliponini),2013,10.1111/jzs.12011,Melipona,1,Neotropical,1,,Neotropical,Neotropical
153,"Occurrence of b chromosomes in tetragonisca latreille, 1811 (hymenoptera, apidae, meliponini): A new contribution to the cytotaxonomy of the genus",2011,10.1590/s1415-47572010005000100,Tetragonisca,1,Neotropical,1,,Neotropical,Neotropical
154,Sympatric cleptobiotic stingless bees have species-specific cuticular profiles that resemble their hosts,2022,10.1038/s41598-022-06683-w,Lestrimelitta; Scaptotrigona,2,Neotropical,1,,Neotropical,Neotropical
155,"The complete mitochondrial genome of the Indian dammer bee, Tetragonula iridipennis, and the phylogenomics of Meliponini",2023,10.3389/fevo.2023.1171242,Lepidotrigona; Tetragonula,2,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
156,"Complete mitochondrial genome of the stingless bee Geniotrigona thoracica (Hymenoptera, Apidae, Meliponini): presence of genome duplication, heteroplasmy and inverted repeats",2026,10.1007/s11033-026-11603-6,Geniotrigona; Heterotrigona; Lepidotrigona; Tetragonula,4,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
157,"New highly discordant chromosome number and cytogenetic characterization in Trigona (Apidae, Meliponini)",2025,10.1007/s13592-025-01189-6,Trigona,1,Neotropical,1,,Neotropical,Neotropical
158,Antimicrobial activity and antibiotic resistance of lactic acid bacteria isolated from Malaysian stingless bee's gut,2019,10.21161/mjm.1915410,Geniotrigona; Heterotrigona; Tetragonula,3,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
