year,topic,article_label,short_label_article,compact_label,plot_label,broader_theme,mean_prevalence,n_documents,prevalence_smooth
2013,1,"Phylogenomics, taxonomy and evolutionary relationships",Phylogenomics/taxonomy,T1. Phylogenomics/taxonomy,"T1. Phylogenomics, taxonomy and evolutionary relationships",Evolutionary relationships and taxonomy,0.08834105499938498,15,0.07531243077854695
2014,1,"Phylogenomics, taxonomy and evolutionary relationships",Phylogenomics/taxonomy,T1. Phylogenomics/taxonomy,"T1. Phylogenomics, taxonomy and evolutionary relationships",Evolutionary relationships and taxonomy,0.07179699200608525,16,0.05438489086236314
2015,1,"Phylogenomics, taxonomy and evolutionary relationships",Phylogenomics/taxonomy,T1. Phylogenomics/taxonomy,"T1. Phylogenomics, taxonomy and evolutionary relationships",Evolutionary relationships and taxonomy,0.0030166255816192074,5,0.04187228064404607
2016,1,"Phylogenomics, taxonomy and evolutionary relationships",Phylogenomics/taxonomy,T1. Phylogenomics/taxonomy,"T1. Phylogenomics, taxonomy and evolutionary relationships",Evolutionary relationships and taxonomy,0.05080322434443376,10,0.04120312719665911
2017,1,"Phylogenomics, taxonomy and evolutionary relationships",Phylogenomics/taxonomy,T1. Phylogenomics/taxonomy,"T1. Phylogenomics, taxonomy and evolutionary relationships",Evolutionary relationships and taxonomy,0.06978953166392438,12,0.04812118828311838
2018,1,"Phylogenomics, taxonomy and evolutionary relationships",Phylogenomics/taxonomy,T1. Phylogenomics/taxonomy,"T1. Phylogenomics, taxonomy and evolutionary relationships",Evolutionary relationships and taxonomy,0.023770808840996995,16,0.04162448213397924
2019,1,"Phylogenomics, taxonomy and evolutionary relationships",Phylogenomics/taxonomy,T1. Phylogenomics/taxonomy,"T1. Phylogenomics, taxonomy and evolutionary relationships",Evolutionary relationships and taxonomy,0.03131310589701636,16,0.03455660376945741
2020,1,"Phylogenomics, taxonomy and evolutionary relationships",Phylogenomics/taxonomy,T1. Phylogenomics/taxonomy,"T1. Phylogenomics, taxonomy and evolutionary relationships",Evolutionary relationships and taxonomy,0.048585896570358895,16,0.05179124016876303
2021,1,"Phylogenomics, taxonomy and evolutionary relationships",Phylogenomics/taxonomy,T1. Phylogenomics/taxonomy,"T1. Phylogenomics, taxonomy and evolutionary relationships",Evolutionary relationships and taxonomy,0.07547471803891384,26,0.06821221058753814
2022,1,"Phylogenomics, taxonomy and evolutionary relationships",Phylogenomics/taxonomy,T1. Phylogenomics/taxonomy,"T1. Phylogenomics, taxonomy and evolutionary relationships",Evolutionary relationships and taxonomy,0.0805760171533417,23,0.07061978335584544
