doc_id,article_id,title,year,doi,source_database,genus_raw,genus_for_stm,n_genera_mentioned,mentioned_genera
384,384,Molecular markers as a tool for population and evolutionary studies of stingless bees,2006,10.1051/apido:2006021,Web of Science,Unclassified,Unclassified,0,
385,385,Vitellogenin gene expression in stingless bee workers differing in egg-laying behavior,2007,10.1007/s00040-007-0913-1,Web of Science,Multiple,Multiple,3,Frieseomelitta; Melipona; Scaptotrigona
386,386,EVOLUTION OF THE MECHANISM OF CASTE DETERMINATION IN THE GENUS MELIPONA,1950,10.2307/2405530,Web of Science,Multiple,Multiple,3,Lestrimelitta; Melipona; Trigona
387,387,GENETIC-VARIABILITY IN NATURAL-POPULATIONS OF BRAZILIAN SOCIAL BEES .2. ELECTROPHORETIC DATA FOR PGM AND MDH GIVE EVIDENCE FOR MULTIPLE FERTILIZATIONS IN STINGLESS BEES,1991,,Web of Science,Multiple,Multiple,4,Melipona; Partamona; Plebeia; Scaptotrigona
388,388,"GENETIC-VARIABILITY IN NATURAL-POPULATIONS OF BRAZILIAN SOCIAL BEES .3. ELECTROPHORETIC DATA FOR ME, GPD, SOD AND IDH",1991,,Web of Science,Multiple,Multiple,4,Friesella; Melipona; Partamona; Scaptotrigona
389,389,MUTATION IN BEES .3. APPLICATION IN BEE POPULATIONS OF A MUTATION-RATE,1986,,Web of Science,Multiple,Multiple,2,Melipona; Scaptotrigona
390,390,Ultraspiracle of the stingless bees Melipona scutellaris and Scaptotrigona depilis:: cDNA sequence and expression profiles during pupal development,2007,10.1051/apido:2007035,Web of Science,Multiple,Multiple,2,Melipona; Scaptotrigona
391,391,GENETIC-VARIABILITY IN NATURAL-POPULATIONS OF BRAZILIAN SOCIAL BEES .1. ISOZYME PATTERNS AND POLYMORPHISM FOR ESTERASES AND TOTAL PROTEIN,1990,,Web of Science,Multiple,Multiple,2,Melipona; Plebeia
392,392,"Molecular Marker to Identify Two Stingless Bee Species: Tetragonisca angustula and Tetragonisca fiebrigi (Hymenoptera, Meliponinae)",2012,,Web of Science,Tetragonisca,Tetragonisca,1,Tetragonisca
393,393,Developmental and behavioral modulation of humoral immunity in the stingless bee Frieseomelitta varia,2026,10.1007/s13592-026-01270-8,Web of Science,Frieseomelitta,Frieseomelitta,1,Frieseomelitta
394,394,Conserved gut microbiomes with cross-species spillover between sympatric Neotropical stingless bees and honey bees,2026,10.1128/aem.02483-25,Web of Science,Melipona,Melipona,1,Melipona
395,395,"Genetic divergence between populations of the stingless bee uruqu amarela (Melipona rufiventris group, Hymenoptera, Meliponini):: Is there a new Melipona species in the Brazilian state of Minas Gerais?",2007,10.1590/s1415-47572007000400027,Web of Science,Melipona,Melipona,1,Melipona
396,396,"SEX DETERMINATION IN BEES .33. DECREASE OF XO-HETEROALLELES IN A FINITE POPULATION OF MELIPONA-SCUTELLARIS (APIDAE, MELIPONINI)",1995,,Web of Science,Melipona,Melipona,1,Melipona
397,397,"Heat shock genes in the stingless bee Melipona interrupta (Hymenoptera, Meliponini)",2018,10.4238/gmr18062,Web of Science,Melipona,Melipona,1,Melipona
398,398,BACILLUS DNA IN FOSSIL BEES - AN ANCIENT SYMBIOSIS,1994,10.1128/aem.60.6.2164-2167.1994,Web of Science,Proplebeia,Other_rare_genera,1,Proplebeia
399,399,GENETIC DETERMINATION OF CASTES IN THE GENUS MELIPONA,1950,,Web of Science,Melipona,Melipona,1,Melipona
400,400,Evidence for Gradients of Melipona rufiventris (Hymenoptera: Apidae) Genetic Diversity within the Brazilian Semiarid,2022,10.51847/3bdobenvih,Web of Science,Melipona,Melipona,1,Melipona
