doc_index,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,doc_id,article_id,title,year,source_database,genus_raw,genus_for_stm,mentioned_genera,journal,doi
353,8.266948092227598e-4,0.0017525222645663435,0.0031218141003271035,1.643967687015323e-4,4.434825988400749e-4,3.6875508434081603e-4,0.001088955644554403,0.006549946525853255,0.9852373837824658,4.460484211276833e-4,353,353,"Sublethal pesticide exposure alters stress response, detoxification, and immunity gene expression in larvae of the stingless bee Frieseomelitta varia (Apidae: Meliponini)",2025,Scopus,Frieseomelitta,Frieseomelitta,Frieseomelitta,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,10.1007/s11356-025-36111-1
354,0.0038341641023424385,0.002600520703751655,0.011171387697250415,0.011437160751707264,1.9511914613057905e-4,0.9530760696825412,0.014943690821278822,2.324049098812852e-4,8.531868947003436e-4,0.0016562952904162253,354,354,"HIGH GENETIC VARIATIONS OF THE STINGLESS BEE Tetragonula laeviceps BASED ON MITOCHONDRIAL DNA OF CYTOCHROME C OXIDASE SUBUNIT 1 (CO1) GENE IN SUMATRA AND JAVA, INDONESIA",2023,Scopus,Multiple,Multiple,Melipona; Tetragonula,SERANGGA,10.17576/serangga-2023-2803-20
355,0.08387020481268385,0.0010605038875675197,0.0029561431260337425,0.0030177142458758313,0.0024243756410018014,0.0022965979163704366,0.006028972618478378,0.8973981018694741,8.03088208523729e-4,1.4429767399033204e-4,355,355,"Methyl farnesoate epoxidase (mfe) gene expression and juvenile hormone titers in the life cycle of a highly eusocial stingless bee, Melipona scutellaris",2017,Scopus,Melipona,Melipona,Melipona,JOURNAL OF INSECT PHYSIOLOGY,10.1016/j.jinsphys.2017.08.001
356,0.0014094134731237958,0.0011150326291107875,0.6348876736299548,3.8147783650918784e-4,5.063105262225648e-4,0.007372046973130163,0.13807478330316314,0.18063845878066953,1.5255084432457655e-5,0.03559954776368353,356,356,"Sex determination in bees. XXXIII. Decrease of xo heteroalleles in a finite population of Melipona scutellaris (Apidae, Meliponini)",1995,Scopus,Melipona,Melipona,Melipona,REVISTA BRASILEIRA DE GENETICA,
357,0.24392429806769286,3.53171296596598e-4,0.005094260746527088,0.0422107285402713,0.007897932915487953,0.37976902727242107,0.3051482400192646,0.004254411958383583,2.3823557888269143e-5,0.011324105625466204,357,357,"Utility of the ITS1 region for phylogenetic analysis in stingless bees: A case study of the endangered Melipona yucatanica Camargo, Moure and Roubik (Apidae: Meliponini)",2014,Scopus,Melipona,Melipona,Melipona,SOCIOBIOLOGY,10.13102/sociobiology.v61i4.470-477
358,0.10389844550644863,2.145619118074783e-4,0.005894383276964651,0.04225466190919523,0.08018216128040902,0.22941175943109168,0.41017604022323745,0.016592503596582438,6.611221170393448e-6,0.11136887164309311,358,358,"Characterization of microsatellite loci for Trigona carbonaria, a stingless bee endemic to Australia",2001,Scopus,Trigona,Trigona,Trigona,MOLECULAR ECOLOGY NOTES,10.1046/j.1471-8278.2001.00041.x
359,0.1306419981348482,5.605956255109837e-4,0.0016957626564232246,0.011990669402666581,0.007098844470518925,0.813419802443081,0.013098325511812892,0.0019906351854096457,1.7879539744837278e-4,0.01932457117227992,359,359,"The first internal transcribed spacer (ITS-1) of Melipona species (Hymenoptera, Apidae, Meliponini): Characterization and phylogenetic analysis",2005,Scopus,Melipona,Melipona,Melipona,INSECTES SOCIAUX,10.1007/s00040-004-0767-8
360,0.0014148840306673447,3.1102056229731316e-4,0.0010789914706043262,0.0010746548909066256,6.927222897104865e-4,7.245380292908805e-4,0.0030702874651707874,0.9909631155533426,2.2172326220180037e-4,4.4806244580789493e-4,360,360,Molecular characterization of the gene feminizer in the stingless bee Melipona interrupta (Hymenoptera: Apidae) reveals association to sex and caste development,2015,Scopus,Melipona,Melipona,Melipona,INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY,10.1016/j.ibmb.2015.09.008
361,0.00214917395020537,4.405220414294486e-5,0.005001884899950599,3.606960921214948e-4,0.0032251117614300667,0.006158091461482207,0.2744650910170762,0.5782186313678788,1.8763137636075595e-5,0.1303585041080763,361,361,"Genetic structure of colonies and a male aggregation in the stingless bee Scaptotrigona postica, as revealed by microsatellite analysis",2000,Scopus,Scaptotrigona,Scaptotrigona,Scaptotrigona,INSECTES SOCIAUX,10.1007/s000400050010
362,0.20222642738407318,5.079730508645819e-4,0.014317513190310042,0.0043713334387635305,0.008340720640087406,0.017345495057797547,0.6712940684265881,0.07382283931832491,0.004399369220543554,0.0033742602726473674,362,362,The role of sex-biased dispersion in promoting mitonuclear discordance in Partamona helleri (Hymenoptera: Apidae: Meliponini),2022,Scopus,Partamona,Partamona,Partamona,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,10.1093/biolinnean/blac046
363,0.01734654377765012,0.004991330583628209,0.009587642219535985,0.03589615369393662,3.607155113795045e-4,0.9233486062796369,0.0021476863886512273,2.3279793147644524e-4,0.002594772183648426,0.003493751430456523,363,363,"DNA BARCODING OF STINGLESS BEES FROM KALIMANTAN, INDONESIA",2026,Scopus,Multiple,Multiple,Geniotrigona; Heterotrigona; Homotrigona; Lepidotrigona; Tetragonula; Wallacetrigona,INDIAN JOURNAL OF ENTOMOLOGY,10.55446/ije.2025.1880
364,0.1405712000544702,3.149280805557693e-5,0.0041967970601499245,4.0719177864613157e-4,0.0016011030386744937,0.009205501285199374,0.8386157797827276,0.003369912438370175,8.923925489310435e-5,0.0019117824988129073,364,364,A geometric morphometric and microsatellite analyses of Scaptotrigona mexicana and S. pectoralis (Apidae: Meliponini) sheds light on the biodiversity of Mesoamerican stingless bees,2016,Scopus,Scaptotrigona,Scaptotrigona,Scaptotrigona,JOURNAL OF INSECT CONSERVATION,10.1007/s10841-016-9899-1
365,0.009376849459203482,0.0022758693232432913,0.004540645104844964,3.2937522961269764e-4,0.0013007821003825858,0.0010794424567921828,0.0029963994515003335,0.00208306600065375,0.9754662588432402,5.513120305268961e-4,365,365,Assessment of the midgut microbiota in foragers of the stingless bee Melipona scutellaris following short-term sublethal exposure to imidacloprid,2025,Scopus,Melipona,Melipona,Melipona,PLOS ONE,10.1371/journal.pone.0339982
366,0.00118036739459541,0.005282216792929856,0.019223156718687226,0.016466449396462038,0.0032459832997094366,0.8606064870910265,0.008696130228320746,0.00554216835578576,2.3578168582791248e-7,0.07975680494079736,366,366,Isolation and partial characterisation of DNA from the bee Proplebeia dominicana (Apidae: Hymenoptera) in 25-40 million year old amber,1992,Scopus,Proplebeia,Other_rare_genera,Proplebeia,MEDICAL SCIENCE RESEARCH,
367,0.0032395952763568867,1.5133453310072558e-5,0.0014082314297839355,1.0648747553222753e-4,0.0013278932816420464,0.011792123196814507,0.9197086266181362,0.002811643813553083,6.731476928417344e-5,0.059522950685587085,367,367,"New molecular evidence for fragmentation between two distant populations of the threatened stingless bee Melipona subnitida Ducke (Hymenoptera, Apidae, Meliponini)",2014,Scopus,Melipona,Melipona,Melipona,JOURNAL OF HYMENOPTERA RESEARCH,10.3897/jhr.38.7302
368,8.70529272580586e-4,0.002921504835851616,0.0049515992325022545,8.231499579689133e-5,5.309780367532683e-4,8.171375566911885e-4,0.0010259498747738328,0.001208042691350011,0.9873403911849319,2.515523187687039e-4,368,368,Microbial diversity in stingless bee gut is linked to host wing size and influenced by the environment,2023,Scopus,Multiple,Multiple,Austroplebeia; Tetragonula,JOURNAL OF INVERTEBRATE PATHOLOGY,10.1016/j.jip.2023.107909
369,3.833637763187976e-4,1.0980631715267373e-5,1.1483936056025428e-4,1.8705592787040986e-5,0.0027186151507455534,0.010211061804458124,0.10357326368924837,0.0017005953757657426,5.463822024708579e-4,0.88072219241593,369,369,"Isoenzyme variation in Melipona rufiventris (Hymenoptera: Apidae, Meliponina) in Minas Gerais State, Brazil",2005,Scopus,Melipona,Melipona,Melipona,BIOCHEMICAL GENETICS,10.1007/s10528-005-1066-4
370,0.09468045531148306,0.0028865294872240754,0.16359600038434186,0.010595776634241834,2.9212447779525534e-4,0.3868237456240554,0.3264679465585467,0.002159927681556135,0.0070290467721440516,0.0054684470686118996,370,370,Inconsistent changes on infuscation and length of the forewing of Heterotrigona itama populations supported by COI Phylogeny,2025,Scopus,Heterotrigona,Heterotrigona,Heterotrigona,JOURNAL OF APICULTURAL RESEARCH,10.1080/00218839.2024.2323882
371,0.007884235543422984,5.4927794386617445e-5,6.974857645532668e-4,3.535426210413516e-4,0.022091030332753264,0.04130719431154384,0.26145439545726745,0.009308908198820274,0.0011556734410892514,0.6556926065351217,371,371,"Geographic variation in tetragonisca angustula (hymenoptera, apidae, meliponinae)",2005,Scopus,Multiple,Multiple,Scaptotrigona; Tetragonisca,JOURNAL OF APICULTURAL RESEARCH,10.1080/00218839.2005.11101157
372,0.5979944438897934,0.18473234609357425,0.0921434876087486,0.0361016637293323,0.0020719307572065232,0.009936220639956956,0.0039234159227434446,0.004909964089336721,0.06806861579600572,1.1791147330210883e-4,372,372,"A Deep Metagenomic Snapshot as a Proof-of-Concept for Resource Generation: Simultaneous Assembly of Host, Food, and Microbiome Genomes From Stingless Bee Larval Food",2025,Scopus,Tetragonisca,Tetragonisca,Tetragonisca,ECOLOGY AND EVOLUTION,10.1002/ece3.72546
373,0.004810501320027118,3.8125877658681665e-4,9.792210766793597e-5,0.0019019449079006134,0.9874720090387051,0.001957601901629415,0.001556438333326759,9.612133587407536e-4,3.373502113830425e-4,5.237600440328871e-4,373,373,"Cytogenetic Analysis and Chromosomal Mapping of Repetitive DNA in Melipona Species (Hymenoptera, Meliponini)",2019,Scopus,Melipona,Melipona,Melipona,CYTOGENETIC AND GENOME RESEARCH,10.1159/000501754
374,3.880736909813515e-4,0.9906030736204707,0.0022214527549707,0.001620886301862434,6.417854779025193e-4,0.0020716972906138615,4.0264789508844416e-5,8.548189306190501e-4,0.00151365884343516,4.428829963569703e-5,374,374,Phylogenetic analyses of antibiotic-producing Streptomyces sp. isolates obtained from the stingless-bee Tetragonisca angustula (Apidae: Meliponini),2019,Scopus,Tetragonisca,Tetragonisca,Tetragonisca,MICROBIOLOGY (UNITED KINGDOM),10.1099/mic.0.000754
375,0.008704378654000885,2.5682483879599664e-4,7.218573847818453e-4,0.0014818344639156524,0.8782914753955304,0.004482041628775873,0.0941485295890984,0.0023381123470948583,0.0024562535536550214,0.007118692144351021,375,375,Karyotypic variation in the stingless bee Trigona spinipes (Hymenoptera: Apidae: Meliponini) from different geographical regions of Brazil,2021,Scopus,Trigona,Trigona,Trigona,APIDOLOGIE,10.1007/s13592-021-00906-1
376,0.04006132816352649,0.001859691155074394,7.932143218754362e-4,0.009636127296456964,0.9286597597905895,0.009673606343962764,0.00482715802224113,0.0023665383309796405,0.0013103991453114426,8.121774299823727e-4,376,376,Different repetitive DNA sequences make up heterochromatin in Meliponini,2020,Scopus,Tetragonisca,Tetragonisca,Tetragonisca,APIDOLOGIE,10.1007/s13592-020-00766-1
377,5.949905683411491e-4,0.003834131913034804,0.005258996884159046,6.365780478103086e-5,0.005407037533128921,2.4635020304515003e-4,0.003792016856576622,0.01492353700127763,0.8911228663916347,0.07475641484402071,377,377,"The post-embryonic changes in melipona quadrifasciata anthidioides lep. (hym., Apoidea)",1969,Scopus,Melipona,Melipona,Melipona,CYTOLOGIA,10.1508/cytologia.34.369
378,0.0013676276871095162,0.5471180521506361,0.010952862628894363,0.0014563577038581267,5.860051729088041e-4,0.0020174270800963484,2.320928644853381e-4,0.00260237257966805,0.4334859558111929,1.812463211511281e-4,378,378,"Melipona stingless bees and honey microbiota reveal the diversity, composition, and modes of symbionts transmission",2024,Scopus,Melipona,Melipona,Melipona,FEMS MICROBIOLOGY ECOLOGY,10.1093/femsec/fiae063
