genus_for_stm,topic,mean_prevalence,n_documents,topic_mean,prevalence_lift,short_label
Plebeia,2,4.921274532771425e-4,8,0.07132679970619538,-0.07083467225291823,T2: lactic / lab / probiotic
Plebeia,3,0.003538452393820305,8,0.06520410862264411,-0.061665656228823806,T3: production / virus / viruses
Plebeia,4,0.008242924111021118,8,0.061510054866944414,-0.05326713075592329,T4: mitogenome / rearrangement / complete
Plebeia,5,0.12085322414521088,8,0.1358948826553891,-0.015041658510178219,T5: heterochromatin / karyotype / cytogenetic
Plebeia,6,0.04141175355028118,8,0.10239423901694714,-0.06098248546666596,T6: numts / restriction / coi
Plebeia,7,0.388441881590189,8,0.20464471646307986,0.18379716512710914,T7: population / populations / microsatellite
Plebeia,8,0.010115558421559888,8,0.08026639149777326,-0.07015083307621336,T8: queens / caste / sex
Plebeia,9,0.0019645364271129477,8,0.06756067380525382,-0.06559613737814088,T9: microbiome / exposure / malpighian
Plebeia,10,0.3949503494653549,8,0.09605418278479429,0.2988961666805606,T10: subspecies / rapd / polymorphic
Scaptotrigona,1,0.0731658216498186,22,0.11514395058097855,-0.04197812893115996,T1: clades / taxonomy / ecology
Scaptotrigona,2,0.07256683734071827,22,0.07132679970619538,0.001240037634522892,T2: lactic / lab / probiotic
Scaptotrigona,3,0.08970174808650486,22,0.06520410862264411,0.024497639463860743,T3: production / virus / viruses
Scaptotrigona,4,0.04625014791774814,22,0.061510054866944414,-0.015259906949196274,T4: mitogenome / rearrangement / complete
Scaptotrigona,5,0.03594112161988222,22,0.1358948826553891,-0.09995376103550688,T5: heterochromatin / karyotype / cytogenetic
Scaptotrigona,6,0.06364970118422071,22,0.10239423901694714,-0.038744537832726425,T6: numts / restriction / coi
Scaptotrigona,7,0.39156951896200726,22,0.20464471646307986,0.1869248024989274,T7: population / populations / microsatellite
Scaptotrigona,8,0.1610002152911933,22,0.08026639149777326,0.08073382379342003,T8: queens / caste / sex
Scaptotrigona,9,0.004832827336158015,22,0.06756067380525382,-0.06272784646909581,T9: microbiome / exposure / malpighian
Scaptotrigona,10,0.06132206061174857,22,0.09605418278479429,-0.034732122173045714,T10: subspecies / rapd / polymorphic
Tetragonisca,1,0.06640174391538192,30,0.11514395058097855,-0.04874220666559663,T1: clades / taxonomy / ecology
Tetragonisca,2,0.07048373237823646,30,0.07132679970619538,-8.430673279589129e-4,T2: lactic / lab / probiotic
Tetragonisca,3,0.03969829765567739,30,0.06520410862264411,-0.025505810966966726,T3: production / virus / viruses
Tetragonisca,4,0.049755173388714866,30,0.061510054866944414,-0.011754881478229548,T4: mitogenome / rearrangement / complete
Tetragonisca,5,0.15635666392011854,30,0.1358948826553891,0.020461781264729445,T5: heterochromatin / karyotype / cytogenetic
Tetragonisca,6,0.1336376096161539,30,0.10239423901694714,0.03124337059920676,T6: numts / restriction / coi
Tetragonisca,7,0.16946316954791762,30,0.20464471646307986,-0.03518154691516223,T7: population / populations / microsatellite
Tetragonisca,8,0.10833946146844961,30,0.08026639149777326,0.02807306997067635,T8: queens / caste / sex
Tetragonisca,9,0.03817158678620384,30,0.06756067380525382,-0.029389087019049985,T9: microbiome / exposure / malpighian
Tetragonisca,10,0.16769256132314586,30,0.09605418278479429,0.07163837853835157,T10: subspecies / rapd / polymorphic
Tetragonula,1,0.1482656841798494,22,0.11514395058097855,0.03312173359887084,T1: clades / taxonomy / ecology
Tetragonula,2,0.04227575528946244,22,0.07132679970619538,-0.029051044416732938,T2: lactic / lab / probiotic
Tetragonula,3,0.04927753510484709,22,0.06520410862264411,-0.015926573517797027,T3: production / virus / viruses
Tetragonula,4,0.1470773360494785,22,0.061510054866944414,0.0855672811825341,T4: mitogenome / rearrangement / complete
Tetragonula,5,0.0033847805118801455,22,0.1358948826553891,-0.13251010214350895,T5: heterochromatin / karyotype / cytogenetic
Tetragonula,6,0.18594259347984246,22,0.10239423901694714,0.08354835446289532,T6: numts / restriction / coi
Tetragonula,7,0.18156614587060219,22,0.20464471646307986,-0.02307857059247767,T7: population / populations / microsatellite
Tetragonula,8,0.09549179377092086,22,0.08026639149777326,0.0152254022731476,T8: queens / caste / sex
Tetragonula,9,0.13089128089109506,22,0.06756067380525382,0.06333060708584123,T9: microbiome / exposure / malpighian
Tetragonula,10,0.01582709485202181,22,0.09605418278479429,-0.08022708793277247,T10: subspecies / rapd / polymorphic
Trigona,1,0.10569432132380827,22,0.11514395058097855,-0.009449629257170286,T1: clades / taxonomy / ecology
Trigona,2,0.06341153088369635,22,0.07132679970619538,-0.00791526882249903,T2: lactic / lab / probiotic
Trigona,3,0.11198713223891002,22,0.06520410862264411,0.046783023616265906,T3: production / virus / viruses
