doc_index,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,doc_id,article_id,title,year,source_database,genus_raw,genus_for_stm,mentioned_genera,region_for_stm,subtribe_for_stm,article_region_assignment,article_subtribe_assignment,studied_genera,n_studied_genera,journal,doi
370,0.10643037528449009,0.0023275617442366043,0.13421894574699414,0.008431545493505102,3.0768278851218647e-4,0.3931746569749192,0.344096289932284,0.001850315055721189,0.004834442372228018,0.004328184607109402,370,370,Inconsistent changes on infuscation and length of the forewing of Heterotrigona itama populations supported by COI Phylogeny,2025,Scopus,Heterotrigona,Heterotrigona,Heterotrigona,Indo-Australasian,Hypotrigonina,Indo-Australasian,Hypotrigonina,Heterotrigona,1,JOURNAL OF APICULTURAL RESEARCH,10.1080/00218839.2024.2323882
371,0.006202676954751581,3.2368013209364084e-4,0.006642692287508964,3.687500852760421e-4,0.011892258810233685,0.027164010194433447,0.3567999682726368,0.01493060799194374,0.0028025181634625572,0.5728728371076595,371,371,"Geographic variation in tetragonisca angustula (hymenoptera, apidae, meliponinae)",2005,Scopus,Multiple,Multiple,Scaptotrigona; Tetragonisca,Neotropical,Meliponina,Neotropical,Meliponina,Tetragonisca,1,JOURNAL OF APICULTURAL RESEARCH,10.1080/00218839.2005.11101157
372,0.6046790057563416,0.17637626663840736,0.09418635402059893,0.02482996809497928,0.005702424432259622,0.012186753058649165,0.0018614574328978037,0.007234960359185956,0.07260770629088795,3.35103915792682e-4,372,372,"A Deep Metagenomic Snapshot as a Proof-of-Concept for Resource Generation: Simultaneous Assembly of Host, Food, and Microbiome Genomes From Stingless Bee Larval Food",2025,Scopus,Tetragonisca,Tetragonisca,Tetragonisca,Neotropical,Meliponina,Neotropical,Meliponina,Tetragonisca,1,ECOLOGY AND EVOLUTION,10.1002/ece3.72546
373,0.005349523820433008,1.2471979338050422e-4,8.389903010716676e-5,0.0012636319584719128,0.9862321183262884,0.0012007428030714191,0.0017871975739698423,8.378795743369821e-4,3.800569112533074e-4,0.002740230208687186,373,373,"Cytogenetic Analysis and Chromosomal Mapping of Repetitive DNA in Melipona Species (Hymenoptera, Meliponini)",2019,Scopus,Melipona,Melipona,Melipona,Neotropical,Meliponina,Neotropical,Meliponina,Melipona,1,CYTOGENETIC AND GENOME RESEARCH,10.1159/000501754
374,3.033536423358859e-4,0.98738356020698,0.00258589916498141,9.868108304914329e-4,0.0010892974852113983,9.97819270514667e-4,7.3119804477513025e-6,0.0012596125293790727,0.004780940024442924,6.053948652154941e-4,374,374,Phylogenetic analyses of antibiotic-producing Streptomyces sp. isolates obtained from the stingless-bee Tetragonisca angustula (Apidae: Meliponini),2019,Scopus,Tetragonisca,Tetragonisca,Tetragonisca,Neotropical,Meliponina,Neotropical,Meliponina,Tetragonisca,1,MICROBIOLOGY (UNITED KINGDOM),10.1099/mic.0.000754
375,0.009731771237178128,2.668309987581661e-5,3.02926556764493e-4,0.0010977871423910256,0.8651554778611966,0.004235174860775858,0.08978901235801072,0.002282061213170447,5.994618515867418e-4,0.026779643819049997,375,375,Karyotypic variation in the stingless bee Trigona spinipes (Hymenoptera: Apidae: Meliponini) from different geographical regions of Brazil,2021,Scopus,Trigona,Trigona,Trigona,Neotropical,Meliponina,Neotropical,Meliponina,Trigona,1,APIDOLOGIE,10.1007/s13592-021-00906-1
376,0.045728864721757474,4.7666542732350257e-4,5.116837641014537e-4,0.00553587393857193,0.9286678244670428,0.005783145731010684,0.005979329258292394,0.002383094846633949,0.001233813129550425,0.003699704715715565,376,376,Different repetitive DNA sequences make up heterochromatin in Meliponini,2020,Scopus,Tetragonisca,Tetragonisca,Tetragonisca,Neotropical,Meliponina,Neotropical,Meliponina,Tetragonisca,1,APIDOLOGIE,10.1007/s13592-020-00766-1
377,0.008058054771012053,0.009368157701622328,0.0107039804608619,0.0016596570489002239,0.013675223166937596,0.05262416065041609,0.014280928160492427,0.019043102593447794,0.8013866750559069,0.06920006039040262,377,377,"The post-embryonic changes in melipona quadrifasciata anthidioides lep. (hym., Apoidea)",1969,Scopus,Melipona,Melipona,Melipona,Neotropical,Meliponina,Neotropical,Meliponina,Melipona,1,CYTOLOGIA,10.1508/cytologia.34.369
378,0.002545635302662974,0.43408851795264336,0.13095098557939808,0.0012937968358597255,0.0013169918856034697,0.002842923536376279,3.53646906850039e-4,0.00967959348020928,0.4149588074328473,0.0019691010875495588,378,378,"Melipona stingless bees and honey microbiota reveal the diversity, composition, and modes of symbionts transmission",2024,Scopus,Melipona,Melipona,Melipona,Neotropical,Meliponina,Neotropical,Meliponina,Melipona,1,FEMS MICROBIOLOGY ECOLOGY,10.1093/femsec/fiae063
379,0.0032619792544033056,2.416678792445226e-6,0.00127214787326589,8.98736081644197e-5,9.644954734834654e-4,0.007944064539205662,0.9434044074261508,0.0024002181179314515,2.3930011353231386e-4,0.04042109691506996,379,379,Isolation and characterization of 15 microsatellite loci in the stingless bee Plebeia remota (Apidae: Meliponini),2011,Scopus,Plebeia,Plebeia,Plebeia,Neotropical,Meliponina,Neotropical,Meliponina,Plebeia,1,CONSERVATION GENETICS RESOURCES,10.1007/s12686-010-9369-0
