genus_for_stm,topic,mean_prevalence,n_documents,topic_mean,prevalence_lift,short_label
Partamona,3,0.0032830003865371264,29,0.0657164603302209,-0.06243345994368377,T3: production / virus / viruses
Partamona,4,0.004008395856105967,29,0.06188316128342289,-0.05787476542731692,T4: mitogenome / rearrangement / heteroplasmy
Partamona,5,0.4170086547271069,29,0.13520485681215746,0.28180379791494947,T5: karyotype / cytogenetic / cytogenetics
Partamona,6,0.05090024643127469,29,0.10226106699160106,-0.05136082056032637,T6: numts / restriction / coi
Partamona,7,0.28492004097395895,29,0.20744113638324962,0.07747890459070933,T7: population / populations / microsatellite
Partamona,8,0.012575644180621803,29,0.08411383596680397,-0.07153819178618216,T8: queens / caste / sex
Partamona,9,0.06868036877731393,29,0.06341463627037922,0.005265732506934712,T9: microbiome / detoxification / exposure
Partamona,10,0.08555814621660636,29,0.09334176291741081,-0.007783616700804449,T10: dehydrogenase / subspecies / polymorphic
Plebeia,1,0.030159325534917042,8,0.11421231513479953,-0.08405298959988249,T1: clades / ecology / taxonomy
Plebeia,2,4.975220779323834e-4,8,0.07241076790995458,-0.0719132458320222,T2: lactic / lab / probiotic
Plebeia,3,0.0035049741421719714,8,0.0657164603302209,-0.06221148618804893,T3: production / virus / viruses
Plebeia,4,0.004480750635721009,8,0.06188316128342289,-0.05740241064770188,T4: mitogenome / rearrangement / heteroplasmy
Plebeia,5,0.12113832652587168,8,0.13520485681215746,-0.01406653028628578,T5: karyotype / cytogenetic / cytogenetics
Plebeia,6,0.054731800529699545,8,0.10226106699160106,-0.04752926646190152,T6: numts / restriction / coi
Plebeia,7,0.41226513512751384,8,0.20744113638324962,0.2048239987442642,T7: population / populations / microsatellite
Plebeia,8,0.032828169453627654,8,0.08411383596680397,-0.051285666513176315,T8: queens / caste / sex
Plebeia,9,0.0033803178329830166,8,0.06341463627037922,-0.0600343184373962,T9: microbiome / detoxification / exposure
Plebeia,10,0.33701367813956185,8,0.09334176291741081,0.24367191522215104,T10: dehydrogenase / subspecies / polymorphic
Scaptotrigona,1,0.07892002350589655,22,0.11421231513479953,-0.035292291628902975,T1: clades / ecology / taxonomy
Scaptotrigona,2,0.0711306374230966,22,0.07241076790995458,-0.0012801304868579888,T2: lactic / lab / probiotic
Scaptotrigona,3,0.08331199781230757,22,0.0657164603302209,0.01759553748208667,T3: production / virus / viruses
Scaptotrigona,4,0.04979814839484534,22,0.06188316128342289,-0.012085012888577551,T4: mitogenome / rearrangement / heteroplasmy
Scaptotrigona,5,0.033347212515417245,22,0.13520485681215746,-0.10185764429674021,T5: karyotype / cytogenetic / cytogenetics
Scaptotrigona,6,0.06057921600744466,22,0.10226106699160106,-0.0416818509841564,T6: numts / restriction / coi
Scaptotrigona,7,0.3929534633569123,22,0.20744113638324962,0.18551232697366266,T7: population / populations / microsatellite
Scaptotrigona,8,0.16252431533022238,22,0.08411383596680397,0.07841047936341841,T8: queens / caste / sex
Scaptotrigona,9,0.012743317578249574,22,0.06341463627037922,-0.05067131869212964,T9: microbiome / detoxification / exposure
Scaptotrigona,10,0.0546916680756078,22,0.09334176291741081,-0.03865009484180301,T10: dehydrogenase / subspecies / polymorphic
Tetragonisca,1,0.06435440595946611,30,0.11421231513479953,-0.04985790917533342,T1: clades / ecology / taxonomy
Tetragonisca,2,0.06952994248825867,30,0.07241076790995458,-0.002880825421695918,T2: lactic / lab / probiotic
Tetragonisca,3,0.038323724187619486,30,0.0657164603302209,-0.02739273614260141,T3: production / virus / viruses
Tetragonisca,4,0.04779188589743242,30,0.06188316128342289,-0.014091275385990469,T4: mitogenome / rearrangement / heteroplasmy
Tetragonisca,5,0.15729238177449578,30,0.13520485681215746,0.022087524962338317,T5: karyotype / cytogenetic / cytogenetics
Tetragonisca,6,0.12681654525892266,30,0.10226106699160106,0.0245554782673216,T6: numts / restriction / coi
Tetragonisca,7,0.16623206055875536,30,0.20744113638324962,-0.04120907582449426,T7: population / populations / microsatellite
Tetragonisca,8,0.11492191034743503,30,0.08411383596680397,0.03080807438063106,T8: queens / caste / sex
Tetragonisca,9,0.035866691857972116,30,0.06341463627037922,-0.0275479444124071,T9: microbiome / detoxification / exposure
