doc_index,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,doc_id,article_id,title,year,source_database,genus_raw,genus_for_stm,mentioned_genera,region_for_stm,subtribe_for_stm,article_region_assignment,article_subtribe_assignment,studied_genera,n_studied_genera,journal,doi
275,0.8083857539503063,4.454664279065702e-4,0.0014257265963313476,0.005141143758448267,0.16092993081040086,0.00556339761593675,0.012962525175822042,0.0030073639291336414,0.001342938124585386,7.957536111290674e-4,275,275,Genome size variation in Melipona species (Hymenoptera: Apidae) and sub-grouping by their DNA content,2010,Scopus,Melipona,Melipona,Melipona,Neotropical,Meliponina,Neotropical,Meliponina,Melipona,1,APIDOLOGIE,10.1051/apido/20010023
276,0.02770752594959254,1.4044464769348209e-4,5.462743181587966e-4,0.004982023855747381,0.9233090015125369,0.005541689568431937,0.027011312997008017,0.0031178819962544143,8.05082485167219e-4,0.006838762669409019,276,276,"Comparative cytogenetic analysis of three species of the genus Partamona (Apidae, Meliponini)",2021,Scopus,Partamona,Partamona,Partamona,Neotropical,Meliponina,Neotropical,Meliponina,Partamona,1,APIDOLOGIE,10.1007/s13592-020-00798-7
277,0.4916710217221126,5.3766305921996665e-5,0.0065018683374047734,0.0025993910860574827,0.00437147672020675,0.04448109775985399,0.44317591010188173,0.0030793107440736027,8.345050573285017e-4,0.003231652165158595,277,277,Integrative approach untangles the misconceptions about the range and identity of two stingless bees from the Brazilian semiarid region,2020,Scopus,Melipona,Melipona,Melipona,Neotropical,Meliponina,Neotropical,Meliponina,Melipona,1,JOURNAL OF APICULTURAL RESEARCH,10.1080/00218839.2019.1673594
278,0.004086860074504555,0.007182482012666189,0.02845809199973865,0.0015511267048105132,0.001174701285367602,0.0013158512084024362,0.0031480621194396627,0.76143838904307,0.18869947536906218,0.0029449601829384256,278,278,Sugar response and gustatory gene expression in the stingless bee Tetragonisca fiebrigi,2025,Scopus,Tetragonisca,Tetragonisca,Tetragonisca,Neotropical,Meliponina,Neotropical,Meliponina,Tetragonisca,1,JOURNAL OF INSECT PHYSIOLOGY,10.1016/j.jinsphys.2025.104818
279,0.004002499330018466,8.887043675529334e-4,0.0038799623387042034,0.13573376276758642,0.00204084369384908,0.07735758289237643,0.014288775570998925,0.7513627819777436,0.0013154959012492897,0.009129591159920744,279,279,"Characterization of antennal sensilla, larvae morphology and olfactory genes of Melipona scutellaris stingless bee",2017,Scopus,Melipona,Melipona,Melipona,Neotropical,Meliponina,Neotropical,Meliponina,Melipona,1,PLOS ONE,10.1371/journal.pone.0174857
280,0.001991181116927197,0.002195553167758999,0.004182518349249827,0.011783539503099457,0.007998214312663588,0.4965905874087304,0.03416148667382936,0.004288998693391253,0.0012709479298447506,0.43553697284450515,280,280,Detection of mitochondrial DNA restriction site differences between the subspecies of Melipona quadrifasciata Lepeletier (Hymenoptera: Apidae: Meliponini); [Detecção de diferenças no padrão de restrição do DNA mitocondrial entre duas subespécies de Melipona quadrifasciata Lepeletier (Hymenoptera: Apidae: Meliponini)],2005,Scopus,Melipona,Melipona,Melipona,Neotropical,Meliponina,Neotropical,Meliponina,Melipona,1,NEOTROPICAL ENTOMOLOGY,10.1590/s1519-566x2005000300004
281,0.0016045439838546051,3.932130392242163e-4,0.0014298283844243437,0.0012465377677091142,7.969495982356097e-4,4.62442244449197e-4,0.002376424255907258,0.988259616175447,0.0017880918494785668,0.0016423527012698154,281,281,"Gene copy number and differential gene expression in haploid and diploid males of the stingless bee, Melipona quadrifasciata",2012,Scopus,Melipona,Melipona,Melipona,Neotropical,Meliponina,Neotropical,Meliponina,Melipona,1,INSECTES SOCIAUX,10.1007/s00040-012-0259-1
282,0.02259325953322766,2.2312445099822032e-4,0.00804504378306512,0.23158447327852738,0.007118738975513273,0.3683811824674855,0.30327399573422986,0.039868520114531146,6.68414758691407e-4,0.01824324690373081,282,282,Microsatellite loci for stingless bees,1998,Scopus,Melipona,Melipona,Melipona,Neotropical,Meliponina,Neotropical,Meliponina,Melipona,1,MOLECULAR ECOLOGY,
283,0.003800404571642023,2.7708072353848925e-6,0.0025529303810541476,9.833983287852993e-5,4.2703716659242113e-4,0.005524610828644287,0.9709312310432555,0.0027019338158895062,2.499729233838884e-4,0.013710768629423794,283,283,Genetic diversity in nannotrigona testaceicornis (Hymenoptera: Apidae) aggregations in southeastern Brazil,2017,Scopus,Nannotrigona,Other_rare_genera,Nannotrigona,Neotropical,Meliponina,Neotropical,Meliponina,Nannotrigona,1,JOURNAL OF INSECT SCIENCE,10.1093/jisesa/iew101
284,0.005290395500559806,2.6449376365535426e-4,1.1173697224160007e-4,0.0016965235951136785,0.9854805387631005,0.0014868529013120698,0.001305618784099162,9.664452120295202e-4,4.993231220727513e-4,0.0028980713858151297,284,284,"DNA characterization and karyotypic evolution in the bee genus Melipona (Hymenoptera, Meliponini)",2002,Scopus,Multiple,Multiple,Melipona; Scaptotrigona,Neotropical,Meliponina,Neotropical,Meliponina,Melipona; Scaptotrigona,2,HEREDITAS,10.1034/j.1601-5223.2002.1360104.x
285,0.9060407479117208,4.351260558286952e-4,0.0024795923163669874,0.0044325544203188275,0.019047446791574604,0.002621712463841199,0.01458903578702448,0.048168631089970215,0.001669272721249657,5.158804421048843e-4,285,285,Recombination mapping of the Brazilian stingless bee Frieseomelitta varia confirms high recombination rates in social hymenoptera,2021,Scopus,Frieseomelitta,Frieseomelitta,Frieseomelitta,Neotropical,Meliponina,Neotropical,Meliponina,Frieseomelitta,1,BMC GENOMICS,10.1186/s12864-021-07987-3
286,0.006831518401364349,0.00782392711946939,0.07309719171214978,0.01618378288238457,8.909737378572173e-5,0.8695113412255433,0.018631596713246483,6.05418551828012e-4,0.0032295726028929725,0.003996553417335261,286,286,Diagnostics of wild stingless bees from northeast india,2020,Scopus,Multiple,Multiple,Lepidotrigona; Tetragonula,Indo-Australasian,Hypotrigonina,Indo-Australasian,Hypotrigonina,Lepidotrigona; Tetragonula,2,INDIAN JOURNAL OF ENTOMOLOGY,10.5958/0974-8172.2020.00076.0
287,0.002898881667704604,2.826284582805887e-4,0.0033446809982202084,0.0014634362980028189,0.0030720453324510526,0.412416489653108,0.20219659647823196,0.0025942259957109554,8.852625625650352e-4,0.3708457525557248,287,287,Preliminary molecular characterization of Angelita Bees (Tetragonisca Angustula) from Guarico state through RAPD markers; [Caracterización molecular preliminar de abejas Angelita (Tetragonisca Angustula) del estado Guárico mediante marcadores moleculares RAPD],2014,Scopus,Tetragonisca,Tetragonisca,Tetragonisca,Neotropical,Meliponina,Neotropical,Meliponina,Tetragonisca,1,ZOOTECNIA TROPICAL,
