year,topic,mean_prevalence,n_documents,short_label,prevalence_smooth
1968,4,0,0,T4: mitogenome / rearrangement / heteroplasmy,0.0012323322499559963
1969,4,0.003696996749867989,3,T4: mitogenome / rearrangement / heteroplasmy,0.0032202562837434262
1970,4,0.00596377210136229,1,T4: mitogenome / rearrangement / heteroplasmy,0.0032202562837434262
1971,4,0,0,T4: mitogenome / rearrangement / heteroplasmy,0.0037867839424500977
1972,4,0.0053965797259880035,2,T4: mitogenome / rearrangement / heteroplasmy,0.0017988599086626678
1973,4,0,0,T4: mitogenome / rearrangement / heteroplasmy,0.0024943661214761378
1974,4,0.0020865186384404102,1,T4: mitogenome / rearrangement / heteroplasmy,0.0046648000553127025
1975,4,0.011907881527497697,2,T4: mitogenome / rearrangement / heteroplasmy,0.0051118400333551904
1976,4,0.0013411199341274657,1,T4: mitogenome / rearrangement / heteroplasmy,0.00441633382054172
1977,4,0,0,T4: mitogenome / rearrangement / heteroplasmy,4.4703997804248856e-4
1978,4,0,0,T4: mitogenome / rearrangement / heteroplasmy,0.0034477995205819964
1979,4,0.01034339856174599,2,T4: mitogenome / rearrangement / heteroplasmy,0.0034477995205819964
1980,4,0,0,T4: mitogenome / rearrangement / heteroplasmy,0.0034477995205819964
1981,4,0,0,T4: mitogenome / rearrangement / heteroplasmy,0
1982,4,0,0,T4: mitogenome / rearrangement / heteroplasmy,0.0028372573047866453
1983,4,0.008511771914359936,2,T4: mitogenome / rearrangement / heteroplasmy,0.0030888309493769276
1984,4,7.547209337708466e-4,1,T4: mitogenome / rearrangement / heteroplasmy,0.0030888309493769276
1985,4,0,0,T4: mitogenome / rearrangement / heteroplasmy,5.070541568393366e-4
1986,4,7.664415367471631e-4,3,T4: mitogenome / rearrangement / heteroplasmy,9.84860251113885e-4
1987,4,0.0021881392165944923,3,T4: mitogenome / rearrangement / heteroplasmy,0.004225375472457396
1988,4,0.009721545664030532,1,T4: mitogenome / rearrangement / heteroplasmy,0.004008984645159753
1989,4,1.1726905485423679e-4,1,T4: mitogenome / rearrangement / heteroplasmy,0.0032887669867294076
1990,4,2.7486241303454507e-5,1,T4: mitogenome / rearrangement / heteroplasmy,5.881983711837227e-5
1991,4,3.170421519742552e-5,4,T4: mitogenome / rearrangement / heteroplasmy,0.02489501076186735
1992,4,0.07462584182910116,3,T4: mitogenome / rearrangement / heteroplasmy,0.024885848681432864
1993,4,0,0,T4: mitogenome / rearrangement / heteroplasmy,0.027278745143953897
1994,4,0.007210393602760537,2,T4: mitogenome / rearrangement / heteroplasmy,0.0026742184356428255
1995,4,8.122617041679406e-4,4,T4: mitogenome / rearrangement / heteroplasmy,0.0026742184356428255
1996,4,0,0,T4: mitogenome / rearrangement / heteroplasmy,0.0034132132534203906
1997,4,0.009427378056093233,2,T4: mitogenome / rearrangement / heteroplasmy,0.0419596818034695
1998,4,0.11645166735431527,2,T4: mitogenome / rearrangement / heteroplasmy,0.07102443050559222
1999,4,0.08719424610636817,2,T4: mitogenome / rearrangement / heteroplasmy,0.06813119597197191
2000,4,7.47674455232297e-4,3,T4: mitogenome / rearrangement / heteroplasmy,0.04350735261480881
2001,4,0.04258013728282597,3,T4: mitogenome / rearrangement / heteroplasmy,0.03859071953398059
2002,4,0.0724443468638835,3,T4: mitogenome / rearrangement / heteroplasmy,0.04427645582137875
2003,4,0.017804883317426794,3,T4: mitogenome / rearrangement / heteroplasmy,0.03599961454301215
2004,4,0.017749613447726163,6,T4: mitogenome / rearrangement / heteroplasmy,0.01907532737883348
2005,4,0.02167148537134749,7,T4: mitogenome / rearrangement / heteroplasmy,0.05142480576252243
2006,4,0.11485331846849363,9,T4: mitogenome / rearrangement / heteroplasmy,0.0505348885026387
2007,4,0.01507986166807499,8,T4: mitogenome / rearrangement / heteroplasmy,0.08332174259565807
2008,4,0.12003204765040561,9,T4: mitogenome / rearrangement / heteroplasmy,0.04584498509746063
