"ID","Nome científico","Gênero","Subgênero","Epíteto específico","Status da espécie","Região/fauna","Subtribo","n_articles_ai_studied_species","n_candidate_articles_species","studied_article_ids","studied_titles"
310,"Scaptotrigona mexicana","Scaptotrigona","Astegotrigona","mexicana","Extante","Neotropical / Novo Mundo","Meliponina",9,9,"14; 19; 78; 85; 107; 173; 272; 314; 364","Barcoding stingless bees: Genetic diversity of the economically important genus Scaptotrigona in Mesoamerica; First detection of honey bee viruses in stingless bees in North America; A Study on Intraspecific Resource Partitioning in the Stingless bee Scaptotrigona mexicana Guérin (Apidae, Meliponini) Using Behavioral and Molecular Techniques; Outbreeding and lack of temporal genetic structure in a drone congregation of the neotropical stingless bee Scaptotrigona mexicana; Genetic structure of drone congregations of the stingless bee Scaptotrigona mexicana; Multilocus species delimitation in Mesoamerican Scaptotrigona stingless bees (Apidae: Meliponini) supports the existence of cryptic species; Gene Flow from Wild to Managed Colonies in the Stingless Bee Scaptotrigona Mexicana and an Update on its Mating Frequency; Genetic Diversity of the Stingless Bee Scaptotrigona mexicana (Guérin) in the Gulf of Mexico Slope: Genetic Diversity of the Stingless Bee Scaptotrigona mexicana (Guérin) in the Gulf of Mexico Slope: A. Rodríguez et al.; A geometric morphometric and microsatellite analyses of Scaptotrigona mexicana and S. pectoralis (Apidae: Meliponini) sheds light on the biodiversity of Mesoamerican stingless bees"
311,"Scaptotrigona wheeleri","Scaptotrigona","Astegotrigona","wheeleri","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
312,"Scaptotrigona bipunctata","Scaptotrigona","Baryorygma","bipunctata","Extante","Neotropical / Novo Mundo","Meliponina",5,5,"36; 243; 301; 387; 388","Evaluation of reference genes for gene expression analysis by real-time quantitative PCR (qPCR) in three stingless bee species (Hymenoptera: Apidae: Meliponini); Further evidences of an emerging stingless bee-yeast symbiosis; The genomes sequenced for the neotropical stingless bees Scaptotrigona bipunctata and S. depilis strengthen the phylogenomics support for the taxonomy of social bees; GENETIC-VARIABILITY IN NATURAL-POPULATIONS OF BRAZILIAN SOCIAL BEES .2. ELECTROPHORETIC DATA FOR PGM AND MDH GIVE EVIDENCE FOR MULTIPLE FERTILIZATIONS IN STINGLESS BEES; GENETIC-VARIABILITY IN NATURAL-POPULATIONS OF BRAZILIAN SOCIAL BEES .3. ELECTROPHORETIC DATA FOR ME, GPD, SOD AND IDH"
313,"Scaptotrigona emersoni","Scaptotrigona","Baryorygma","emersoni","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
314,"Scaptotrigona fimbriata","Scaptotrigona","Baryorygma","fimbriata","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
315,"Scaptotrigona subobscuripennis","Scaptotrigona","Baryorygma","subobscuripennis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
316,"Scaptotrigona tricolorata","Scaptotrigona","Baryorygma","tricolorata","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
317,"Scaptotrigona fulvicutis","Scaptotrigona","Dasytrigona","fulvicutis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
318,"Scaptotrigona luteipennis","Scaptotrigona","Eoscaptotrigona","luteipennis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
319,"Scaptotrigona polysticta","Scaptotrigona","Eoscaptotrigona","polysticta","Extante","Neotropical / Novo Mundo","Meliponina",1,1,"288","Molecular identification of Amazonian stingless bees using polymerase chain reaction single-strand conformation polymorphism"
320,"Scaptotrigona totobi","Scaptotrigona","Eoscaptotrigona","totobi","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
321,"Scaptotrigona aurantipes","Scaptotrigona","Gymnotrigona","aurantipes","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
322,"Scaptotrigona depilis","Scaptotrigona","Gymnotrigona","depilis","Extante","Neotropical / Novo Mundo","Meliponina",6,6,"74; 121; 171; 243; 301; 390","Diploid males of Scaptotrigona depilis are able to join reproductive aggregations (Apidae, Meliponini); Stingless Bee Larvae Require Fungal Steroid to Pupate; Whole-Genome sequence of Bacillus sp. SDLI1, isolated from the social bee Scaptotrigona depilis; Further evidences of an emerging stingless bee-yeast symbiosis; The genomes sequenced for the neotropical stingless bees Scaptotrigona bipunctata and S. depilis strengthen the phylogenomics support for the taxonomy of social bees; Ultraspiracle of the stingless bees Melipona scutellaris and Scaptotrigona depilis:: cDNA sequence and expression profiles during pupal development"
323,"Scaptotrigona guimaraesensis","Scaptotrigona","Gymnotrigona","guimaraesensis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
324,"Scaptotrigona hellwegeri","Scaptotrigona","Gymnotrigona","hellwegeri","Extante","Neotropical / Novo Mundo","Meliponina",3,3,"14; 42; 173","Barcoding stingless bees: Genetic diversity of the economically important genus Scaptotrigona in Mesoamerica; Genetic and phenotypic differentiation in endemic Scaptotrigona hellwegeri (Apidae: Meliponini): Implications for the conservation of stingless bee populations in contrasting environments; Multilocus species delimitation in Mesoamerican Scaptotrigona stingless bees (Apidae: Meliponini) supports the existence of cryptic species"
325,"Scaptotrigona jujuyensis","Scaptotrigona","Gymnotrigona","jujuyensis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
326,"Scaptotrigona nuda","Scaptotrigona","Gymnotrigona","nuda","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
327,"Scaptotrigona psile","Scaptotrigona","Gymnotrigona","psile","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
328,"Scaptotrigona stipula","Scaptotrigona","Gymnotrigona","stipula","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
329,"Scaptotrigona affabra","Scaptotrigona","Sakagamilla","affabra","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
330,"Scaptotrigona marialiceae","Scaptotrigona","Sakagamilla","marialiceae","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
331,"Scaptotrigona pasiphaea","Scaptotrigona","Sakagamilla","pasiphaea","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
332,"Scaptotrigona silviae","Scaptotrigona","Sakagamilla","silviae","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
333,"Scaptotrigona tubiba","Scaptotrigona","Sakagamilla","tubiba","Extante","Neotropical / Novo Mundo","Meliponina",1,1,"243","Further evidences of an emerging stingless bee-yeast symbiosis"
334,"Scaptotrigona anaulax","Scaptotrigona","Scaptotrigona","anaulax","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
335,"Scaptotrigona baldwini","Scaptotrigona","Scaptotrigona","baldwini","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
336,"Scaptotrigona barrocoloradensis","Scaptotrigona","Scaptotrigona","barrocoloradensis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
337,"Scaptotrigona caduceus","Scaptotrigona","Scaptotrigona","caduceus","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
338,"Scaptotrigona ederi","Scaptotrigona","Scaptotrigona","ederi","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
339,"Scaptotrigona extranea","Scaptotrigona","Scaptotrigona","extranea","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
340,"Scaptotrigona faviziae","Scaptotrigona","Scaptotrigona","faviziae","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
341,"Scaptotrigona gonzalezi","Scaptotrigona","Scaptotrigona","gonzalezi","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
342,"Scaptotrigona grueteri","Scaptotrigona","Scaptotrigona","grueteri","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
343,"Scaptotrigona illescasi","Scaptotrigona","Scaptotrigona","illescasi","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
344,"Scaptotrigona kuperi","Scaptotrigona","Scaptotrigona","kuperi","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
345,"Scaptotrigona limae","Scaptotrigona","Scaptotrigona","limae","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
346,"Scaptotrigona macarenensis","Scaptotrigona","Scaptotrigona","macarenensis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
347,"Scaptotrigona magdalenae","Scaptotrigona","Scaptotrigona","magdalenae","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
348,"Scaptotrigona nigrohirta","Scaptotrigona","Scaptotrigona","nigrohirta","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
349,"Scaptotrigona ochrotricha","Scaptotrigona","Scaptotrigona","ochrotricha","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
350,"Scaptotrigona pectoralis","Scaptotrigona","Scaptotrigona","pectoralis","Extante","Neotropical / Novo Mundo","Meliponina",5,6,"5; 14; 154; 342; 364","Honey characterization and identification of fructophilic lactic acid bacteria of fresh samples from Melipona beecheii, Scaptotrigona pectoralis, Plebeia llorentei, and Plebeia jatiformis hives; Barcoding stingless bees: Genetic diversity of the economically important genus Scaptotrigona in Mesoamerica; Sympatric cleptobiotic stingless bees have species-specific cuticular profiles that resemble their hosts; Characterization and identification of lactic acid bacteria from Mexican stingless bees (Apidae: Meliponini); A geometric morphometric and microsatellite analyses of Scaptotrigona mexicana and S. pectoralis (Apidae: Meliponini) sheds light on the biodiversity of Mesoamerican stingless bees"
351,"Scaptotrigona postica","Scaptotrigona","Scaptotrigona","postica","Extante","Neotropical / Novo Mundo","Meliponina",11,23,"113; 146; 196; 224; 243; 251; 284; 347; 361; 385; 389","Quantitative genetics of multivariate morphometric variation in the neotropical stingless bee, Scaptotrigona postica (Hymenoptera: Meliponinae); Characterization of dinucleotide microsatellite loci for stingless bees; Characterization of sex-specific variants of doublesex and feminizer genes in stingless bee species; Contrasting patterns of foraging behavior in neotropical stingless bees using pollen and honey metabarcoding; Further evidences of an emerging stingless bee-yeast symbiosis; Starmerella meliponinorum sp. nov., a novel ascomycetous yeast species associated with stingless bees; DNA characterization and karyotypic evolution in the bee genus Melipona (Hymenoptera, Meliponini); Nest architecture and genetic differentiation in a species complex of Australian stingless bees; Genetic structure of colonies and a male aggregation in the stingless bee Scaptotrigona postica, as revealed by microsatellite analysis; Vitellogenin gene expression in stingless bee workers differing in egg-laying behavior; MUTATION IN BEES .3. APPLICATION IN BEE POPULATIONS OF A MUTATION-RATE"
352,"Scaptotrigona rosellae","Scaptotrigona","Scaptotrigona","rosellae","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
353,"Scaptotrigona santiago","Scaptotrigona","Scaptotrigona","santiago","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
354,"Scaptotrigona semiflava","Scaptotrigona","Scaptotrigona","semiflava","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
355,"Scaptotrigona tatacoensis","Scaptotrigona","Scaptotrigona","tatacoensis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
356,"Scaptotrigona turusiri","Scaptotrigona","Scaptotrigona","turusiri","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
357,"Scaptotrigona vitorum","Scaptotrigona","Scaptotrigona","vitorum","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
358,"Scaptotrigona xanthotricha","Scaptotrigona","Scaptotrigona","xanthotricha","Extante","Neotropical / Novo Mundo","Meliponina",4,4,"88; 208; 249; 320","Viruses in Brazilian stingless bees; Genetic differentiation in the stingless bee, scaptotrigona xanthotricha moure, 1950 (Apidae, Meliponini): A species with wide geographic distribution in the atlantic rainforest; Isolation and characterization of microsatellites from Scaptotrigona xanthotricha (Apidae, Meliponini): A stingless bee in the Brazilian Atlantic rainforest; Occurrence of multiple nucleolus organizer regions and intraspecific karyotype variation in Scaptotrigona xanthotricha Moure (Hymenoptera, Meliponini)"
359,"Scaptotrigona yungasensis","Scaptotrigona","Scaptotrigona","yungasensis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
360,"Scaura latitarsis","Scaura","Scaura","latitarsis","Extante","Neotropical / Novo Mundo","Meliponina",1,1,"191","Characterization of microsatellite loci for the stingless bee Scaura latitarsis (Hymenoptera, Apidae, Meliponini)"
361,"Scaura longula","Scaura","Scaura","longula","Extante","Neotropical / Novo Mundo","Meliponina",1,1,"191","Characterization of microsatellite loci for the stingless bee Scaura latitarsis (Hymenoptera, Apidae, Meliponini)"
362,"Scaura amazonica","Scaura","Scauracea","amazonica","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
363,"Scaura argyrea","Scaura","Scauracea","argyrea","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
364,"Scaura aspera","Scaura","Scauracea","aspera","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
365,"Scaura atlantica","Scaura","Scauracea","atlantica","Extante","Neotropical / Novo Mundo","Meliponina",1,1,"191","Characterization of microsatellite loci for the stingless bee Scaura latitarsis (Hymenoptera, Apidae, Meliponini)"
366,"Scaura cearensis","Scaura","Scauracea","cearensis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
367,"Scaura coccidophila","Scaura","Schwarzula","coccidophila","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
368,"Scaura timida","Scaura","Schwarzula","timida","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
369,"Schwarziana chapadensis","Schwarziana","Chapadapis","chapadensis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
370,"Schwarziana bocainensis","Schwarziana","Schwarziana","bocainensis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
371,"Schwarziana mourei","Schwarziana","Schwarziana","mourei","Extante","Neotropical / Novo Mundo","Meliponina",1,1,"225","Genetic and morphometric variation in Schwarziana quadripunctata and Schwarziana mourei (Hymenoptera: Apidae: Meliponini)"
372,"Schwarziana quadripunctata","Schwarziana","Schwarziana","quadripunctata","Extante","Neotropical / Novo Mundo","Meliponina",3,3,"120; 191; 225","Characterization of microsatellite loci of tetragonisca angustula (Hymenoptera, Apidae, Meliponini); Characterization of microsatellite loci for the stingless bee Scaura latitarsis (Hymenoptera, Apidae, Meliponini); Genetic and morphometric variation in Schwarziana quadripunctata and Schwarziana mourei (Hymenoptera: Apidae: Meliponini)"
373,"Tetragona atahualpa","Tetragona","NA","atahualpa","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
374,"Tetragona beebei","Tetragona","NA","beebei","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
375,"Tetragona clavipes","Tetragona","NA","clavipes","Extante","Neotropical / Novo Mundo","Meliponina",2,2,"41; 243","Glycerol-3-phosphate dehydrogenase (G-3-PDH; EC 1.1.1.8) variation in Brazilian stingless bees and in wasp species; Further evidences of an emerging stingless bee-yeast symbiosis"
376,"Tetragona dorsalis","Tetragona","NA","dorsalis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
377,"Tetragona essequiboensis","Tetragona","NA","essequiboensis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
378,"Tetragona goettei","Tetragona","NA","goettei","Extante","Neotropical / Novo Mundo","Meliponina",1,1,"253","DNA Barcoding of Stingless Bees (Hymenoptera: Meliponini) in Northern Peruvian Forests: A Plea for Integrative Taxonomy"
379,"Tetragona handlirschii","Tetragona","NA","handlirschii","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
380,"Tetragona kaieteurensis","Tetragona","NA","kaieteurensis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
381,"Tetragona korotaii","Tetragona","NA","korotaii","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
382,"Tetragona mayarum","Tetragona","NA","mayarum","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
383,"Tetragona mourei","Tetragona","NA","mourei","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
384,"Tetragona perangulata","Tetragona","NA","perangulata","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
385,"Tetragona quadrangula","Tetragona","NA","quadrangula","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
386,"Tetragona truncata","Tetragona","NA","truncata","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
387,"Tetragona ziegleri","Tetragona","NA","ziegleri","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
388,"Tetragonisca angustula","Tetragonisca","NA","angustula","Extante","Neotropical / Novo Mundo","Meliponina",39,39,"16; 23; 24; 29; 32; 38; 79; 81; 88; 120; 136; 150; 153; 175; 178; 193; 195; 200; 210; 218; 224; 236; 251; 253; 256; 261; 287; 293; 296; 300; 306; 315; 335; 349; 371; 372; 374; 376; 392","Unveiling the Genetic Structure and Ecological Niche Diversification of the Stingless Bee Tetragonisca angustula (Meliponini) in Peruvian Amazon; The nuclear and mitochondrial genome assemblies of Tetragonisca angustula (Apidae: Meliponini), a tiny yet remarkable pollinator in the Neotropics; Relatedness and dispersal distance of eusocial bee males on mating swarms; Mitochondrial polymorphism in tetragonisca angustula and tetragonisca weyrauchi (Apidae) in northern Brazil; An intraspecific origin of B chromosomes in Tetragonisca fiebrigi (Apidae: Meliponini) inferred from cytogenetic and nuclear genome size data; Isoenzymes and cytochemical analysis in Tetragonisca angustula and Tetragonisca fiebrigi after herbicide contamination; Unraveling genetic parameters for the corbicular area of Tetragonisca angustula (Hymenoptera: Apidae); Isolation and characterization of ten microsatellite loci in stingless bee Trigona spinipes (Apidae: Meliponini); Viruses in Brazilian stingless bees; Characterization of microsatellite loci of tetragonisca angustula (Hymenoptera, Apidae, Meliponini); Matrilineage differentiation of the genus Tetragonisca using mitochondrial DNA markers and the polymerase chain reaction-restriction fragment length polymorphism technique; Gene expression and epigenetics reveal species-specific mechanisms acting upon common molecular pathways in the evolution of task division in bees; Occurrence of b chromosomes in tetragonisca latreille, 1811 (hymenoptera, apidae, meliponini): A new contribution to the cytotaxonomy of the genus; Structural Variations in Complete Mitogenome of Stingless Bees Serve as Auxiliary Molecular Markers for Generic Systematics; Genetic variability in captive populations of the stingless bee Tetragonisca angustula; mt-COI heteroplasmy characterization of Tetragonisca angustula (Hymenoptera: Apidae); Bacterial communities of indoor surface of stingless bee nests; Investigating the molecular basis of cleptobiosis in eusocial stingless bees (Apidae: Hymenoptera); Molecular Marker to identify two stingless bee species: Tetragonisca angustula and Tetragoniscafiebrigi (Hymenoptera, Meliponinae); Isolation, Molecular Identification, and Enzymatic Activity of Microorganisms Associated with the Gut of Stingless Bees Tetragonisca angustula Latreille, 1811; ..."
389,"Tetragonisca buchwaldi","Tetragonisca","NA","buchwaldi","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
390,"Tetragonisca fiebrigi","Tetragonisca","NA","fiebrigi","Extante","Neotropical / Novo Mundo","Meliponina",14,14,"32; 38; 70; 120; 136; 153; 165; 169; 210; 261; 278; 300; 376; 392","An intraspecific origin of B chromosomes in Tetragonisca fiebrigi (Apidae: Meliponini) inferred from cytogenetic and nuclear genome size data; Isoenzymes and cytochemical analysis in Tetragonisca angustula and Tetragonisca fiebrigi after herbicide contamination; Similarity of heterochromatic regions in the stingless bees (Hymenoptera: Meliponini) revealed by chromosome painting; Characterization of microsatellite loci of tetragonisca angustula (Hymenoptera, Apidae, Meliponini); Matrilineage differentiation of the genus Tetragonisca using mitochondrial DNA markers and the polymerase chain reaction-restriction fragment length polymorphism technique; Occurrence of b chromosomes in tetragonisca latreille, 1811 (hymenoptera, apidae, meliponini): A new contribution to the cytotaxonomy of the genus; Identification of chemosensory genes in the stingless bee Tetragonisca fiebrigi; Cytotaxonomy and karyotype evolution in Neotropical Meliponini (Hymenoptera: Apidae) inferred by chromosomal mapping of 18S rDNA and five microsatellites; Molecular Marker to identify two stingless bee species: Tetragonisca angustula and Tetragoniscafiebrigi (Hymenoptera, Meliponinae); Hybridization and asymmetric introgression between Tetragonisca angustula and Tetragonisca fiebrigi; Sugar response and gustatory gene expression in the stingless bee Tetragonisca fiebrigi; Supernumerary B Chromosomes of Tetragonisca fiebrigi Share Repeat Content with Standard Chromosome Set of both T. fiebrigi and Tetragonisca angustula (Apidae: Meliponini); Different repetitive DNA sequences make up heterochromatin in Meliponini; Molecular Marker to Identify Two Stingless Bee Species: Tetragonisca angustula and Tetragonisca fiebrigi (Hymenoptera, Meliponinae)"
391,"Tetragonisca weyrauchi","Tetragonisca","NA","weyrauchi","Extante","Neotropical / Novo Mundo","Meliponina",3,3,"29; 120; 256","Mitochondrial polymorphism in tetragonisca angustula and tetragonisca weyrauchi (Apidae) in northern Brazil; Characterization of microsatellite loci of tetragonisca angustula (Hymenoptera, Apidae, Meliponini); Genetic divergence in Tetragonisca angustula Latreille, 1811 (Hymenoptera, Meliponinae,Trigonini) based on rapd markers"
392,"Trichotrigona camargoiana","Trichotrigona","NA","camargoiana","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
393,"Trichotrigona extranea","Trichotrigona","NA","extranea","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
394,"Trigona chanchamayoensis","Trigona","Aphaneura","chanchamayoensis","Extante","Neotropical / Novo Mundo","Meliponina",1,1,"81","Isolation and characterization of ten microsatellite loci in stingless bee Trigona spinipes (Apidae: Meliponini)"
395,"Trigona ferricauda","Trigona","Aphaneura","ferricauda","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
396,"Trigona muzoensis","Trigona","Aphaneura","muzoensis","Extante","Neotropical / Novo Mundo","Meliponina",1,1,"253","DNA Barcoding of Stingless Bees (Hymenoptera: Meliponini) in Northern Peruvian Forests: A Plea for Integrative Taxonomy"
397,"Trigona pallens","Trigona","Aphaneura","pallens","Extante","Neotropical / Novo Mundo","Meliponina",1,1,"181","Comparative cytogenetic analysis reveals chromosomal variability in five stingless bees of the genus Trigona (Apidae, Apinae, Meliponini)"
398,"Trigona williana","Trigona","Aphaneura","williana","Extante","Neotropical / Novo Mundo","Meliponina",4,4,"181; 253; 288; 339","Comparative cytogenetic analysis reveals chromosomal variability in five stingless bees of the genus Trigona (Apidae, Apinae, Meliponini); DNA Barcoding of Stingless Bees (Hymenoptera: Meliponini) in Northern Peruvian Forests: A Plea for Integrative Taxonomy; Molecular identification of Amazonian stingless bees using polymerase chain reaction single-strand conformation polymorphism; An updated molecular phylogeny of the stingless bees of the genus Trigona (Hymenoptera, Meliponini) of the northern Peruvian forests"
399,"Trigona cilipes","Trigona","Aphaneuropsis","cilipes","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
400,"Trigona lacteipennis","Trigona","Aphaneuropsis","lacteipennis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
401,"Trigona mazucatoi","Trigona","Aphaneuropsis","mazucatoi","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
402,"Trigona pellucida","Trigona","Aphaneuropsis","pellucida","Extante","Neotropical / Novo Mundo","Meliponina",1,1,"157","New highly discordant chromosome number and cytogenetic characterization in Trigona (Apidae, Meliponini)"
403,"Trigona dimidiata","Trigona","Dichrotrigona","dimidiata","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
404,"Trigona sesquipedalis","Trigona","Dichrotrigona","sesquipedalis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
405,"Trigona venezuelana","Trigona","Dichrotrigona","venezuelana","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
406,"Trigona braueri","Trigona","Koilotrigona","braueri","Extante","Neotropical / Novo Mundo","Meliponina",1,1,"157","New highly discordant chromosome number and cytogenetic characterization in Trigona (Apidae, Meliponini)"
407,"Trigona fulviventris","Trigona","Koilotrigona","fulviventris","Extante","Neotropical / Novo Mundo","Meliponina",4,4,"219; 228; 251; 253","Prevalence of begomoviruses in Trigona fuscipennis and Trigona fulviventris visitors of Jatropha curcas; Karyotype characterization of Trigona fulviventris Guérin, 1835 (Hymenoptera, Meliponini) by C banding and fluorochrome staining: Report of a new chromosome number in the genus; Starmerella meliponinorum sp. nov., a novel ascomycetous yeast species associated with stingless bees; DNA Barcoding of Stingless Bees (Hymenoptera: Meliponini) in Northern Peruvian Forests: A Plea for Integrative Taxonomy"
408,"Trigona guianae","Trigona","Koilotrigona","guianae","Extante","Neotropical / Novo Mundo","Meliponina",2,2,"253; 339","DNA Barcoding of Stingless Bees (Hymenoptera: Meliponini) in Northern Peruvian Forests: A Plea for Integrative Taxonomy; An updated molecular phylogeny of the stingless bees of the genus Trigona (Hymenoptera, Meliponini) of the northern Peruvian forests"
409,"Trigona albipennis","Trigona","Ktinotrofia","albipennis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
410,"Trigona fuscipennis","Trigona","Ktinotrofia","fuscipennis","Extante","Neotropical / Novo Mundo","Meliponina",1,1,"219","Prevalence of begomoviruses in Trigona fuscipennis and Trigona fulviventris visitors of Jatropha curcas"
411,"Trigona crassipes","Trigona","Necrotrigona","crassipes","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
412,"Trigona hypogea","Trigona","Necrotrigona","hypogea","Extante","Neotropical / Novo Mundo","Meliponina",1,1,"181","Comparative cytogenetic analysis reveals chromosomal variability in five stingless bees of the genus Trigona (Apidae, Apinae, Meliponini)"
413,"Trigona necrophaga","Trigona","Necrotrigona","necrophaga","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
414,"Trigona daianeae","Trigona","Nostotrigona","daianeae","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
415,"Trigona juvenili","Trigona","Nostotrigona","juvenili","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
416,"Trigona mandaloriana","Trigona","Nostotrigona","mandaloriana","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
417,"Trigona permodica","Trigona","Nostotrigona","permodica","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
418,"Trigona recursa","Trigona","Nostotrigona","recursa","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
419,"Trigona amalthea","Trigona","Trigona","amalthea","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
420,"Trigona amazonensis","Trigona","Trigona","amazonensis","Extante","Neotropical / Novo Mundo","Meliponina",1,1,"253","DNA Barcoding of Stingless Bees (Hymenoptera: Meliponini) in Northern Peruvian Forests: A Plea for Integrative Taxonomy"
421,"Trigona branneri","Trigona","Trigona","branneri","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
422,"Trigona corvina","Trigona","Trigona","corvina","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
423,"Trigona dallatorreana","Trigona","Trigona","dallatorreana","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
424,"Trigona hyalinata","Trigona","Trigona","hyalinata","Extante","Neotropical / Novo Mundo","Meliponina",2,2,"81; 139","Isolation and characterization of ten microsatellite loci in stingless bee Trigona spinipes (Apidae: Meliponini); The Satellite DNAs Populating the Genome of Trigona hyalinata and the Sharing of a Highly Abundant satDNA in Trigona Genus"
425,"Trigona nigerrima","Trigona","Trigona","nigerrima","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
426,"Trigona pampana","Trigona","Trigona","pampana","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
427,"Trigona silvestriana","Trigona","Trigona","silvestriana","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
